en,zh,assigned_domain,confidence,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,annotation
sabotage,破壞,criminal,0.8571,conspiracy [criminal] sim=0.761,theft [criminal] sim=0.704,forgery [criminal] sim=0.700,recklessness [criminal] sim=0.692,extortion [criminal] sim=0.684,manslaughter [criminal] sim=0.683,veto [constitutional] sim=0.681,
sheriff,司法行政官,criminal,0.8571,prosecution [criminal] sim=0.687,felony [criminal] sim=0.683,manslaughter [criminal] sim=0.680,homicide [criminal] sim=0.680,probationer [criminal] sim=0.664,murder [criminal] sim=0.656,trespasser [civil] sim=0.656,
shipwreck,船舶失事,criminal,0.8571,manslaughter [criminal] sim=0.618,restitution [civil] sim=0.617,robbery [criminal] sim=0.612,larceny [criminal] sim=0.607,accused [criminal] sim=0.600,theft [criminal] sim=0.600,inchoate [criminal] sim=0.596,
vandalize,惡意破壞,criminal,0.8571,criminalise [criminal] sim=0.727,distort [civil] sim=0.720,extortionate [criminal] sim=0.682,criminally [criminal] sim=0.673,theft [criminal] sim=0.665,larceny [criminal] sim=0.665,assault [criminal] sim=0.664,
lead case,具指引作用的訟案,criminal,0.8571,trespass on the case [civil] sim=0.682,accused [criminal] sim=0.679,remand [criminal] sim=0.656,accessory [criminal] sim=0.649,co-accused [criminal] sim=0.645,battery [criminal] sim=0.639,prosecution [criminal] sim=0.626,
unnamed defendant,不指名的被告人,criminal,0.8571,co-accused [criminal] sim=0.726,accused [criminal] sim=0.721,prosecution [criminal] sim=0.712,trespass on the case [civil] sim=0.685,accomplice [criminal] sim=0.684,convict sb. of an offence [criminal] sim=0.683,arraignment [criminal] sim=0.680,
bombing,聯合國《制止恐怖主義爆炸的國際公約》,criminal,0.8571,assault [criminal] sim=0.718,manslaughter [criminal] sim=0.702,burglary [criminal] sim=0.691,robbery [criminal] sim=0.691,torture [civil] sim=0.689,murder [criminal] sim=0.677,extortion [criminal] sim=0.657,
prisoner,囚犯,criminal,0.8571,imprisonment [criminal] sim=0.855,incarceration [criminal] sim=0.771,penal [criminal] sim=0.739,recidivist [criminal] sim=0.713,convict sb. of an offence [criminal] sim=0.695,remand [criminal] sim=0.693,refugee [international] sim=0.688,
narcotic,毒品的成份,criminal,0.8571,Single Convention on Narcotic Drugs [international] sim=0.702,penal [criminal] sim=0.688,larceny [criminal] sim=0.686,probation [criminal] sim=0.652,recidivism [criminal] sim=0.652,extortionate [criminal] sim=0.651,extortion [criminal] sim=0.647,
punishment,懲罰,criminal,0.8571,imprisonment [criminal] sim=0.826,penalty [criminal] sim=0.823,sentencing [criminal] sim=0.799,torture [civil] sim=0.796,incarceration [criminal] sim=0.762,penal [criminal] sim=0.754,extortion [criminal] sim=0.740,
adulterate,經攙雜,criminal,0.8571,criminalise [criminal] sim=0.741,extortionate [criminal] sim=0.738,distort [civil] sim=0.727,forgery [criminal] sim=0.693,larceny [criminal] sim=0.692,extortion [criminal] sim=0.689,blackmail [criminal] sim=0.689,
aggravated,嚴重襲擊,criminal,0.8571,extortionate [criminal] sim=0.775,extortion [criminal] sim=0.743,accused [criminal] sim=0.738,tortious [civil] sim=0.716,assault [criminal] sim=0.714,penalty [criminal] sim=0.704,indictment [criminal] sim=0.697,
aggressive,具威嚇性,criminal,0.8571,assault [criminal] sim=0.776,extortionate [criminal] sim=0.731,recklessness [criminal] sim=0.689,extortion [criminal] sim=0.688,harassment [labor_social] sim=0.676,manslaughter [criminal] sim=0.665,homicide [criminal] sim=0.659,
attack,性襲擊,criminal,0.8571,assault [criminal] sim=0.833,strike [labor_social] sim=0.742,burglary [criminal] sim=0.718,accused [criminal] sim=0.699,robbery [criminal] sim=0.697,extortionate [criminal] sim=0.691,extortion [criminal] sim=0.687,
bestiality,獸交,criminal,0.8571,torture [civil] sim=0.685,recidivism [criminal] sim=0.676,homicide [criminal] sim=0.671,murder [criminal] sim=0.668,manslaughter [criminal] sim=0.663,forgery [criminal] sim=0.659,criminal law [criminal] sim=0.659,
cheat,串謀在賭博時作弊,criminal,0.8571,blackmail [criminal] sim=0.687,bribery [criminal] sim=0.685,corruption [criminal] sim=0.684,larceny [criminal] sim=0.683,distort [civil] sim=0.682,criminalise [criminal] sim=0.681,criminally [criminal] sim=0.679,
coercion,脅迫,criminal,0.8571,extortion [criminal] sim=0.827,blackmail [criminal] sim=0.771,assault [criminal] sim=0.769,extortionate [criminal] sim=0.766,torture [civil] sim=0.760,bribery [criminal] sim=0.727,corruption [criminal] sim=0.719,
collude,串通,criminal,0.8571,conspiracy [criminal] sim=0.742,accomplice [criminal] sim=0.724,criminalise [criminal] sim=0.706,bribery [criminal] sim=0.702,extortionate [criminal] sim=0.699,palimony [civil] sim=0.694,conspiracy to defraud [criminal] sim=0.692,
condemned,宣告不合格,criminal,0.8571,accused [criminal] sim=0.763,manslaughter [criminal] sim=0.736,imprisonment [criminal] sim=0.717,felony [criminal] sim=0.701,recidivist [criminal] sim=0.695,pledged [civil] sim=0.693,sentencing [criminal] sim=0.686,
Court Prosecutor,法庭檢控主任,criminal,0.8571,prosecution [criminal] sim=0.800,accused [criminal] sim=0.707,Director of Public Prosecutions; DPP [criminal] sim=0.704,indictment [criminal] sim=0.681,co-accused [criminal] sim=0.675,appurtenant [civil] sim=0.668,conviction [criminal] sim=0.656,
demonetization,停止通用,criminal,0.8571,recidivism [criminal] sim=0.688,corruption [criminal] sim=0.683,restitution [civil] sim=0.667,forgery [criminal] sim=0.648,theft [criminal] sim=0.643,extortion [criminal] sim=0.636,bribery [criminal] sim=0.627,
detain,串謀將人強行帶走或禁錮而意圖取得贖金,criminal,0.8571,remand [criminal] sim=0.774,imprisonment [criminal] sim=0.733,criminalise [criminal] sim=0.724,arraignment [criminal] sim=0.707,trespass [civil] sim=0.705,penal [criminal] sim=0.700,incarceration [criminal] sim=0.699,
detention,串謀強行禁錮,criminal,0.8571,imprisonment [criminal] sim=0.830,incarceration [criminal] sim=0.787,remand [criminal] sim=0.755,penal [criminal] sim=0.745,arraignment [criminal] sim=0.731,habeas corpus [constitutional] sim=0.711,probation [criminal] sim=0.708,
dishonourable,不名譽,criminal,0.8571,recklessness [criminal] sim=0.732,manslaughter [criminal] sim=0.729,criminally [criminal] sim=0.715,larceny [criminal] sim=0.694,felony [criminal] sim=0.692,tortious [civil] sim=0.688,corruption [criminal] sim=0.685,
dishonoured,不兌現的匯票,criminal,0.8571,manslaughter [criminal] sim=0.716,corruption [criminal] sim=0.704,recklessness [criminal] sim=0.701,larceny [criminal] sim=0.698,criminally [criminal] sim=0.697,accused [criminal] sim=0.683,distorted [civil] sim=0.679,
exploitation,性剝削,criminal,0.8571,extortion [criminal] sim=0.719,torture [civil] sim=0.713,theft [criminal] sim=0.703,larceny [criminal] sim=0.691,criminalise [criminal] sim=0.688,imprisonment [criminal] sim=0.686,extortionate [criminal] sim=0.683,
exploitative,僭名圖利,criminal,0.8571,extortionate [criminal] sim=0.767,extortion [criminal] sim=0.705,assault [criminal] sim=0.691,criminalise [criminal] sim=0.689,larceny [criminal] sim=0.687,tortious [civil] sim=0.680,criminally [criminal] sim=0.677,
gambling,串謀在賭博時作弊,criminal,0.8571,divorce [civil] sim=0.665,extortion [criminal] sim=0.657,penalty [criminal] sim=0.656,larceny [criminal] sim=0.655,corruption [criminal] sim=0.654,forgery [criminal] sim=0.650,theft [criminal] sim=0.649,
gaoler,監獄看守員,criminal,0.8571,imprisonment [criminal] sim=0.737,penal [criminal] sim=0.704,probationer [criminal] sim=0.693,remand [criminal] sim=0.689,bailment [civil] sim=0.681,incarceration [criminal] sim=0.679,convict sb. of an offence [criminal] sim=0.654,
guilt,有罪的推論,criminal,0.8571,conviction [criminal] sim=0.710,manslaughter [criminal] sim=0.708,gratification [international] sim=0.703,recidivism [criminal] sim=0.691,accused [criminal] sim=0.684,corruption [criminal] sim=0.681,perjury [criminal] sim=0.669,
harmful,損及,criminal,0.8571,recklessness [criminal] sim=0.696,criminally [criminal] sim=0.687,corruption [criminal] sim=0.686,manslaughter [criminal] sim=0.685,criminalise [criminal] sim=0.678,penalty [criminal] sim=0.675,inadmissible [procedure] sim=0.671,
illegality,不合法,criminal,0.8571,criminality [criminal] sim=0.841,criminalisation [criminal] sim=0.755,larceny [criminal] sim=0.749,recklessness [criminal] sim=0.749,felony [criminal] sim=0.747,criminalise [criminal] sim=0.737,unconstitutional [constitutional] sim=0.736,
imprison,監禁,criminal,0.8571,imprisonment [criminal] sim=0.823,incarceration [criminal] sim=0.796,remand [criminal] sim=0.723,penal [criminal] sim=0.717,torture [civil] sim=0.714,convict sb. of an offence [criminal] sim=0.709,extortion [criminal] sim=0.692,
infanticide,殺嬰,criminal,0.8571,manslaughter [criminal] sim=0.751,murder [criminal] sim=0.743,homicide [criminal] sim=0.738,genocide [international] sim=0.701,assault [criminal] sim=0.659,criminality [criminal] sim=0.647,prosecution [criminal] sim=0.641,
inmate,所員,criminal,0.8571,imprisonment [criminal] sim=0.807,incarceration [criminal] sim=0.787,recidivist [criminal] sim=0.751,penal [criminal] sim=0.738,felony [criminal] sim=0.726,employee [labor_social] sim=0.719,convict sb. of an offence [criminal] sim=0.718,
interdiction,停職,criminal,0.8571,extortion [criminal] sim=0.759,larceny [criminal] sim=0.731,theft [criminal] sim=0.710,blackmail [criminal] sim=0.707,burglary [criminal] sim=0.694,extortionate [criminal] sim=0.690,trespass [civil] sim=0.681,
kidnapping,綁架,criminal,0.8571,extortion [criminal] sim=0.782,theft [criminal] sim=0.750,extortionate [criminal] sim=0.731,torture [civil] sim=0.730,blackmail [criminal] sim=0.723,robbery [criminal] sim=0.722,imprisonment [criminal] sim=0.698,
littering,拋棄垃圾的罪行,criminal,0.8571,corruption [criminal] sim=0.697,nuisance [civil] sim=0.682,recklessness [criminal] sim=0.674,theft [criminal] sim=0.672,manslaughter [criminal] sim=0.662,homicide [criminal] sim=0.661,felony [criminal] sim=0.653,
narcotics,毒品,criminal,0.8571,Single Convention on Narcotic Drugs [international] sim=0.685,larceny [criminal] sim=0.676,probation [criminal] sim=0.668,penal [criminal] sim=0.658,criminality [criminal] sim=0.652,recidivism [criminal] sim=0.651,felony [criminal] sim=0.650,
piracy,海盜行為,criminal,0.8571,theft [criminal] sim=0.778,larceny [criminal] sim=0.766,forgery [criminal] sim=0.753,corruption [criminal] sim=0.699,copyright [civil] sim=0.695,recidivism [criminal] sim=0.687,criminality [criminal] sim=0.678,
pirate,海盜,criminal,0.8571,larceny [criminal] sim=0.746,theft [criminal] sim=0.705,robbery [criminal] sim=0.699,freedom [constitutional] sim=0.675,burglary [criminal] sim=0.661,forgery [criminal] sim=0.660,penal [criminal] sim=0.658,
piratical,海盜襲擊,criminal,0.8571,penal [criminal] sim=0.754,larceny [criminal] sim=0.743,extortionate [criminal] sim=0.731,imprisonment [criminal] sim=0.693,tortious [civil] sim=0.690,criminality [criminal] sim=0.678,extortion [criminal] sim=0.674,
police,警察部門,criminal,0.8571,murder [criminal] sim=0.738,theft [criminal] sim=0.725,homicide [criminal] sim=0.718,burglary [criminal] sim=0.715,manslaughter [criminal] sim=0.703,corruption [criminal] sim=0.698,labour [labor_social] sim=0.688,
prosecutor,檢控人,criminal,0.8571,prosecution [criminal] sim=0.860,accused [criminal] sim=0.741,Director of Public Prosecutions; DPP [criminal] sim=0.736,indictment [criminal] sim=0.724,conviction [criminal] sim=0.707,appurtenant [civil] sim=0.696,co-accused [criminal] sim=0.681,
prostitute,娼妓,criminal,0.8571,robbery [criminal] sim=0.676,accomplice [criminal] sim=0.675,blackmail [criminal] sim=0.663,employee [labor_social] sim=0.657,larceny [criminal] sim=0.654,bribery [criminal] sim=0.649,extortion [criminal] sim=0.646,
prostitution,賣淫,criminal,0.8571,larceny [criminal] sim=0.680,extortion [criminal] sim=0.679,bribery [criminal] sim=0.676,corruption [criminal] sim=0.674,labour [labor_social] sim=0.674,recidivism [criminal] sim=0.666,blackmail [criminal] sim=0.663,
punishable,可循簡易程序定罪而懲處的罪行,criminal,0.8571,penalty [criminal] sim=0.791,bailable offence [criminal] sim=0.750,criminally [criminal] sim=0.745,manslaughter [criminal] sim=0.736,convict sb. of an offence [criminal] sim=0.730,patentable [civil] sim=0.729,conviction [criminal] sim=0.727,
punitive,懲罰性刑罰,criminal,0.8571,penal [criminal] sim=0.764,imprisonment [criminal] sim=0.746,penalty [criminal] sim=0.743,extortionate [criminal] sim=0.738,extortion [criminal] sim=0.734,sentencing [criminal] sim=0.733,torture [civil] sim=0.733,
strangle,將……咽喉扼勒,criminal,0.8571,extortionate [criminal] sim=0.730,torture [civil] sim=0.718,extortion [criminal] sim=0.713,imprisonment [criminal] sim=0.692,assault [criminal] sim=0.681,blackmail [criminal] sim=0.680,manslaughter [criminal] sim=0.678,
suspect,懷疑,criminal,0.8571,accused [criminal] sim=0.805,accomplice [criminal] sim=0.767,manslaughter [criminal] sim=0.752,conspiracy [criminal] sim=0.729,co-accused [criminal] sim=0.722,trespasser [civil] sim=0.710,homicide [criminal] sim=0.705,
thief,竊賊,criminal,0.8571,theft [criminal] sim=0.880,robbery [criminal] sim=0.802,larceny [criminal] sim=0.777,burglary [criminal] sim=0.760,trespasser [civil] sim=0.755,forgery [criminal] sim=0.716,manslaughter [criminal] sim=0.715,
trafficking,商業性質的販毒,criminal,0.8571,corruption [criminal] sim=0.724,extortion [criminal] sim=0.722,theft [criminal] sim=0.716,larceny [criminal] sim=0.704,torture [civil] sim=0.690,bribery [criminal] sim=0.679,recidivism [criminal] sim=0.679,
victimization,危害,criminal,0.8571,harassment [labor_social] sim=0.746,recidivism [criminal] sim=0.719,extortion [criminal] sim=0.715,theft [criminal] sim=0.705,assault [criminal] sim=0.703,manslaughter [criminal] sim=0.700,prosecution [criminal] sim=0.695,
suspicious,可疑作為,criminal,0.8571,conspiracy [criminal] sim=0.771,accused [criminal] sim=0.703,conspiracy to defraud [criminal] sim=0.702,forgery [criminal] sim=0.689,innocent misrepresentation [civil] sim=0.680,murder [criminal] sim=0.676,corruption [criminal] sim=0.674,
psychopathic,精神病理障礙,criminal,0.8571,manslaughter [criminal] sim=0.709,homicide [criminal] sim=0.689,criminally [criminal] sim=0.688,recidivist [criminal] sim=0.685,murder [criminal] sim=0.684,genocide [international] sim=0.677,criminality [criminal] sim=0.676,
not guilty,罪名不成立,criminal,0.8571,non-prosecution [criminal] sim=0.790,conviction [criminal] sim=0.756,acquittal [criminal] sim=0.750,co-accused [criminal] sim=0.749,accused [criminal] sim=0.728,manslaughter [criminal] sim=0.720,innocent misrepresentation [civil] sim=0.707,
liquor,令人醺醉的酒類,criminal,0.8571,murder [criminal] sim=0.671,larceny [criminal] sim=0.668,parole [criminal] sim=0.660,homicide [criminal] sim=0.658,probation [criminal] sim=0.652,theft [criminal] sim=0.644,divorce [civil] sim=0.641,
pawning,非法當押,criminal,0.8571,theft [criminal] sim=0.697,bribery [criminal] sim=0.687,larceny [criminal] sim=0.673,extortion [criminal] sim=0.670,forgery [criminal] sim=0.665,robbery [criminal] sim=0.662,restitution [civil] sim=0.642,
victimized,受害人士,criminal,0.8571,accused [criminal] sim=0.747,harassment [labor_social] sim=0.732,assault [criminal] sim=0.727,extortion [criminal] sim=0.715,theft [criminal] sim=0.714,manslaughter [criminal] sim=0.714,prosecution [criminal] sim=0.701,
penitentiary,監獄制度,criminal,0.8571,imprisonment [criminal] sim=0.811,penal [criminal] sim=0.760,incarceration [criminal] sim=0.754,felony [criminal] sim=0.681,asylum [international] sim=0.669,criminality [criminal] sim=0.669,recidivist [criminal] sim=0.650,
abuser,主動施虐者,criminal,0.8571,recidivist [criminal] sim=0.727,assault [criminal] sim=0.723,accused [criminal] sim=0.720,extortion [criminal] sim=0.710,harassment [labor_social] sim=0.705,accomplice [criminal] sim=0.705,extortionate [criminal] sim=0.699,
ex-offender,曾犯罪者,criminal,0.8571,ex-tenant [civil] sim=0.806,recidivist [criminal] sim=0.780,recidivism [criminal] sim=0.745,conviction [criminal] sim=0.726,felony [criminal] sim=0.719,convict sb. of an offence [criminal] sim=0.715,co-accused [criminal] sim=0.706,
paedophilia,戀童癖,criminal,0.8571,genocide [international] sim=0.704,criminality [criminal] sim=0.685,recidivism [criminal] sim=0.684,forgery [criminal] sim=0.682,criminalisation [criminal] sim=0.677,manslaughter [criminal] sim=0.676,conspiracy [criminal] sim=0.667,
predatory,掠奪性貸款,criminal,0.8571,harassment [labor_social] sim=0.737,extortion [criminal] sim=0.716,extortionate [criminal] sim=0.715,blackmail [criminal] sim=0.700,manslaughter [criminal] sim=0.694,prosecution [criminal] sim=0.694,penalty [criminal] sim=0.682,
prosecutorial,檢控酌情權,criminal,0.8571,prosecution [criminal] sim=0.847,indictment [criminal] sim=0.729,conviction [criminal] sim=0.719,tortious [civil] sim=0.712,accused [criminal] sim=0.706,penal [criminal] sim=0.688,Director of Public Prosecutions; DPP [criminal] sim=0.688,
entrapment,圈套,criminal,0.8571,extortion [criminal] sim=0.754,theft [criminal] sim=0.732,torture [civil] sim=0.721,extortionate [criminal] sim=0.721,larceny [criminal] sim=0.718,burglary [criminal] sim=0.717,indictment [criminal] sim=0.716,
re-offending,再犯案,criminal,0.8571,recidivism [criminal] sim=0.782,recidivist [criminal] sim=0.767,re-employment [labor_social] sim=0.752,reprobation [criminal] sim=0.734,remand [criminal] sim=0.734,criminalisation [criminal] sim=0.732,criminalise [criminal] sim=0.726,
self-defence,自衞,criminal,0.8571,assault [criminal] sim=0.698,manslaughter [criminal] sim=0.669,burglary [criminal] sim=0.660,going equipped for burglary [criminal] sim=0.659,trespass on the case [civil] sim=0.658,prosecution [criminal] sim=0.648,robbery [criminal] sim=0.648,
shoplifting,店舖盜竊,criminal,0.8571,theft [criminal] sim=0.824,robbery [criminal] sim=0.718,larceny [criminal] sim=0.715,burglary [criminal] sim=0.708,trespass on the case [civil] sim=0.655,conspiracy to defraud [criminal] sim=0.651,corruption [criminal] sim=0.650,
premeditated,有預謀的行為,criminal,0.8571,pre-sentencing [criminal] sim=0.696,conspiracy [criminal] sim=0.694,indictment [criminal] sim=0.694,manslaughter [criminal] sim=0.682,inadvertent negligence [civil] sim=0.676,prosecution [criminal] sim=0.671,accused [criminal] sim=0.668,
kidnap,串謀綁架,criminal,0.8571,extortion [criminal] sim=0.795,extortionate [criminal] sim=0.764,theft [criminal] sim=0.751,torture [civil] sim=0.747,blackmail [criminal] sim=0.733,imprisonment [criminal] sim=0.718,assault [criminal] sim=0.703,
prosecuting,控方律師,criminal,0.8571,prosecution [criminal] sim=0.901,indictment [criminal] sim=0.754,accused [criminal] sim=0.737,criminalise [criminal] sim=0.731,pleading [procedure] sim=0.725,conviction [criminal] sim=0.707,criminalisation [criminal] sim=0.707,
ransom,串謀將人強行帶走或禁錮而意圖取得贖金,criminal,0.8571,extortion [criminal] sim=0.761,extortionate [criminal] sim=0.751,blackmail [criminal] sim=0.714,robbery [criminal] sim=0.708,theft [criminal] sim=0.705,indemnity [civil] sim=0.675,larceny [criminal] sim=0.669,
reoffending,再犯風險,criminal,0.8571,recidivism [criminal] sim=0.813,recidivist [criminal] sim=0.790,re-employment [labor_social] sim=0.768,remand [criminal] sim=0.744,criminality [criminal] sim=0.728,criminalisation [criminal] sim=0.726,convict sb. of an offence [criminal] sim=0.719,
hacker,黑客,criminal,0.8571,theft [criminal] sim=0.685,trespasser [civil] sim=0.680,accomplice [criminal] sim=0.669,burglary [criminal] sim=0.667,forgery [criminal] sim=0.667,larceny [criminal] sim=0.667,blackmail [criminal] sim=0.663,
outlaw,定為不合法,criminal,0.8571,felony [criminal] sim=0.728,larceny [criminal] sim=0.715,recklessness [criminal] sim=0.704,robbery [criminal] sim=0.685,criminality [criminal] sim=0.680,recidivist [criminal] sim=0.680,trespasser [civil] sim=0.669,
incarcerated,在囚,criminal,0.8571,imprisonment [criminal] sim=0.903,incarceration [criminal] sim=0.865,penal [criminal] sim=0.744,felony [criminal] sim=0.732,torture [civil] sim=0.709,sentencing [criminal] sim=0.708,convict sb. of an offence [criminal] sim=0.704,
poisonous,有毒物質,criminal,0.8571,murder [criminal] sim=0.699,manslaughter [criminal] sim=0.683,homicide [criminal] sim=0.672,assault [criminal] sim=0.672,extortionate [criminal] sim=0.663,harassment [labor_social] sim=0.658,recklessness [criminal] sim=0.654,
abuse,濫用,criminal,0.7143,assault [criminal] sim=0.761,torture [civil] sim=0.756,extortion [criminal] sim=0.739,corruption [criminal] sim=0.734,extortionate [criminal] sim=0.730,theft [criminal] sim=0.726,harassment [labor_social] sim=0.717,
acquit,判……無罪,criminal,0.7143,acquittal [criminal] sim=0.887,manslaughter [criminal] sim=0.709,conviction [criminal] sim=0.706,accused [criminal] sim=0.700,dismissal [labor_social] sim=0.700,divorcement [civil] sim=0.687,extortionate [criminal] sim=0.684,
ad rem,得其要領,criminal,0.7143,mens rea [criminal] sim=0.665,actus reus [criminal] sim=0.653,ad damnum pleadings [procedure] sim=0.622,remand [criminal] sim=0.622,die intestate [civil] sim=0.615,recidivism [criminal] sim=0.615,conspiracy [criminal] sim=0.612,
C.O.D.,貨到付款,criminal,0.7143,homicide [criminal] sim=0.625,conspiracy [criminal] sim=0.605,manslaughter [criminal] sim=0.604,corruption [criminal] sim=0.603,theft [criminal] sim=0.601,administrative [administrative] sim=0.596,mortgaged [civil] sim=0.595,
caution money,保證金,criminal,0.7143,penalty [criminal] sim=0.676,valuable consideration [civil] sim=0.657,extortionate [criminal] sim=0.655,extortion [criminal] sim=0.653,bribery [criminal] sim=0.640,underlease [civil] sim=0.638,blackmail [criminal] sim=0.631,
collision,航行中船隻的碰撞,criminal,0.7143,assault [criminal] sim=0.732,penalty [criminal] sim=0.692,manslaughter [criminal] sim=0.691,strike [labor_social] sim=0.685,homicide [criminal] sim=0.681,trespass [civil] sim=0.673,murder [criminal] sim=0.670,
compel,迫使,criminal,0.7143,extortion [criminal] sim=0.738,extortionate [criminal] sim=0.735,bribery [criminal] sim=0.720,approbation [criminal] sim=0.719,blackmail [criminal] sim=0.705,pleading [procedure] sim=0.703,subpoena [procedure] sim=0.700,
condemnation,宣判有罪,criminal,0.7143,reprobation [criminal] sim=0.791,conviction [criminal] sim=0.748,dismissal [labor_social] sim=0.726,approbation [criminal] sim=0.721,indictment [criminal] sim=0.714,manslaughter [criminal] sim=0.711,rescission [civil] sim=0.707,
condone,寬容,criminal,0.7143,criminalise [criminal] sim=0.720,distort [civil] sim=0.705,reprobation [criminal] sim=0.703,constitute [constitutional] sim=0.690,extortionate [criminal] sim=0.690,approbation [criminal] sim=0.688,manslaughter [criminal] sim=0.683,
conduct,處理,criminal,0.7143,criminality [criminal] sim=0.723,harassment [labor_social] sim=0.712,perjury [criminal] sim=0.711,assault [criminal] sim=0.706,recklessness [criminal] sim=0.705,probation [criminal] sim=0.705,constitute [constitutional] sim=0.702,
confession,供認,criminal,0.7143,conviction [criminal] sim=0.753,reconciliation [procedure] sim=0.726,perjury [criminal] sim=0.723,probation [criminal] sim=0.714,reprobation [criminal] sim=0.709,manslaughter [criminal] sim=0.700,covenant [international] sim=0.689,
criminal jurisdiction,刑事司法管轄權,criminal,0.7143,appellate jurisdiction [procedure] sim=0.764,criminality [criminal] sim=0.753,criminalisation [criminal] sim=0.724,prosecution [criminal] sim=0.722,extradition [international] sim=0.713,criminal law [criminal] sim=0.710,penal [criminal] sim=0.697,
damage,損壞,criminal,0.7143,assault [criminal] sim=0.730,theft [criminal] sim=0.724,distorted [civil] sim=0.719,distortion [civil] sim=0.704,recklessness [criminal] sim=0.686,burglary [criminal] sim=0.684,penalty [criminal] sim=0.683,
deceit,欺騙,criminal,0.7143,perjury [criminal] sim=0.792,conspiracy [criminal] sim=0.766,forgery [criminal] sim=0.729,innocent misrepresentation [civil] sim=0.725,misrepresentation [civil] sim=0.724,blackmail [criminal] sim=0.720,corruption [criminal] sim=0.712,
deception,欺騙,criminal,0.7143,conspiracy [criminal] sim=0.791,perjury [criminal] sim=0.790,misrepresentation [civil] sim=0.769,forgery [criminal] sim=0.758,blackmail [criminal] sim=0.752,innocent misrepresentation [civil] sim=0.750,conspiracy to defraud [criminal] sim=0.727,
defraud,詐取,criminal,0.7143,conspiracy to defraud [criminal] sim=0.809,forgery [criminal] sim=0.729,perjury [criminal] sim=0.729,larceny [criminal] sim=0.719,theft [criminal] sim=0.718,negligent misrepresentation [civil] sim=0.717,distort [civil] sim=0.701,
Department of Justice,律政司,criminal,0.7143,criminal law [criminal] sim=0.677,prosecution [criminal] sim=0.676,recidivism [criminal] sim=0.671,habeas corpus [constitutional] sim=0.661,conviction [criminal] sim=0.654,manslaughter [criminal] sim=0.650,habeas corpus ad respondendum [constitutional] sim=0.646,
deter,阻嚇,criminal,0.7143,criminalise [criminal] sim=0.705,extortionate [criminal] sim=0.700,penalty [criminal] sim=0.696,remand [criminal] sim=0.689,dismissal [labor_social] sim=0.680,penal [criminal] sim=0.679,distort [civil] sim=0.679,
duress,經濟脅迫,criminal,0.7143,extortionate [criminal] sim=0.728,extortion [criminal] sim=0.728,assault [criminal] sim=0.715,blackmail [criminal] sim=0.713,torture [civil] sim=0.712,duplicitous pleading [procedure] sim=0.707,imprisonment [criminal] sim=0.705,
ejection,驅趕,criminal,0.7143,penalty [criminal] sim=0.711,assault [criminal] sim=0.708,indictment [criminal] sim=0.678,dismissal [labor_social] sim=0.674,manslaughter [criminal] sim=0.662,unleased [civil] sim=0.659,extortion [criminal] sim=0.654,
encryption,加密技術,criminal,0.7143,blackmail [criminal] sim=0.711,larceny [criminal] sim=0.642,surety [civil] sim=0.640,theft [criminal] sim=0.640,torture [civil] sim=0.637,imprisonment [criminal] sim=0.634,extortion [criminal] sim=0.633,
exculpate,辯白,criminal,0.7143,extortionate [criminal] sim=0.750,accomplice [criminal] sim=0.731,ex parte [procedure] sim=0.720,manslaughter [criminal] sim=0.720,extortion [criminal] sim=0.718,duplicitous pleading [procedure] sim=0.707,indictment [criminal] sim=0.706,
execution,簽立,criminal,0.7143,murder [criminal] sim=0.737,manslaughter [criminal] sim=0.732,indictment [criminal] sim=0.723,dismissal [labor_social] sim=0.721,torture [civil] sim=0.719,imprisonment [criminal] sim=0.718,homicide [criminal] sim=0.713,
exonerate,免除（某人的）法律責任,criminal,0.7143,accused [criminal] sim=0.729,acquittal [criminal] sim=0.728,conviction [criminal] sim=0.702,reconciliation [procedure] sim=0.699,perjury [criminal] sim=0.688,prosecution [criminal] sim=0.682,approbate and reprobate [civil] sim=0.682,
gratuity,約滿酬金,criminal,0.7143,bribery [criminal] sim=0.697,extortionate [criminal] sim=0.696,extortion [criminal] sim=0.686,gratification [international] sim=0.684,penalty [criminal] sim=0.667,indemnity [civil] sim=0.663,accessory [criminal] sim=0.659,
gross,嚴重,criminal,0.7143,murder [criminal] sim=0.699,penal [criminal] sim=0.695,extortionate [criminal] sim=0.693,manslaughter [criminal] sim=0.678,distorted [civil] sim=0.672,distort [civil] sim=0.672,penalty [criminal] sim=0.669,
ignominy,無恥行為,criminal,0.7143,extortionate [criminal] sim=0.708,manslaughter [criminal] sim=0.697,extortion [criminal] sim=0.694,nuisance [civil] sim=0.689,recklessness [criminal] sim=0.686,conspiracy [criminal] sim=0.686,tortious [civil] sim=0.684,
impound,沒收,criminal,0.7143,theft [criminal] sim=0.684,extortion [criminal] sim=0.667,trespass on the case [civil] sim=0.661,trespass [civil] sim=0.660,extortionate [criminal] sim=0.659,arraignment [criminal] sim=0.656,incarceration [criminal] sim=0.655,
impropriety,不得體舉止,criminal,0.7143,corruption [criminal] sim=0.767,duplicitous pleading [procedure] sim=0.735,bribery [criminal] sim=0.735,extortion [criminal] sim=0.722,inadvertent negligence [civil] sim=0.722,recklessness [criminal] sim=0.720,criminality [criminal] sim=0.715,
