en,zh,k_en,k_zh,k_min,assigned_domain,confidence,vote_breakdown
in the case of,如,8,8,8,procedure,0.7143,"{""administrative"": 1, ""procedure"": 5, ""criminal"": 1}"
in the meantime,在此期間,8,8,8,labor_social,0.4286,"{""administrative"": 1, ""labor_social"": 3, ""criminal"": 1, ""procedure"": 1, ""civil"": 1}"
in the possession of,由……扣留管有,8,0,0,civil,0.7143,"{""civil"": 5, ""administrative"": 1, ""procedure"": 1}"
in the public interest,為公眾利益起見,8,3,3,administrative,0.2857,"{""administrative"": 2, ""procedure"": 2, ""constitutional"": 2, ""civil"": 1}"
in view of,考慮到……,8,0,0,procedure,0.8571,"{""procedure"": 6, ""administrative"": 1}"
in whole or in part,全部或部分,8,8,8,constitutional,0.4286,"{""constitutional"": 3, ""procedure"": 1, ""labor_social"": 2, ""administrative"": 1}"
in writing,以書面,8,8,8,procedure,0.5714,"{""procedure"": 4, ""administrative"": 1, ""civil"": 1, ""criminal"": 1}"
inability,無力履行契約義務,8,0,0,procedure,0.4286,"{""criminal"": 2, ""labor_social"": 2, ""procedure"": 3}"
inaccessible,不可觸及,8,6,6,criminal,0.5714,"{""criminal"": 4, ""labor_social"": 2, ""procedure"": 1}"
inaccuracy,不準確之處,8,8,8,criminal,0.7143,"{""civil"": 1, ""criminal"": 5, ""procedure"": 1}"
inadequate,明顯過輕,8,0,0,criminal,0.4286,"{""criminal"": 3, ""procedure"": 1, ""labor_social"": 2, ""administrative"": 1}"
inadvertent,無心,8,8,8,criminal,1.0,"{""criminal"": 7}"
inadvertently,不慎地,8,1,1,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
inapplicable,不適用,3,8,3,criminal,0.5714,"{""criminal"": 4, ""procedure"": 1, ""administrative"": 1, ""labor_social"": 1}"
inappropriate,“明顯不適當訴訟地”測試,8,0,0,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
inasmuch as,由於,0,8,0,procedure,0.5714,"{""procedure"": 4, ""constitutional"": 1, ""administrative"": 2}"
incapable,精神上無能力行事,8,5,5,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
incapacitate,喪失工作能力,1,8,1,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
incapacitated,精神上無行為能力的人,8,8,8,criminal,0.4286,"{""labor_social"": 2, ""administrative"": 2, ""criminal"": 3}"
incest,亂倫,2,2,2,criminal,0.7143,"{""civil"": 2, ""criminal"": 5}"
incidentally,附帶地,8,8,8,criminal,0.4286,"{""international"": 2, ""civil"": 2, ""criminal"": 3}"
incidents,條件和附帶條件,8,8,8,criminal,0.4286,"{""criminal"": 3, ""international"": 1, ""labor_social"": 1, ""procedure"": 1, ""civil"": 1}"
incite,煽動對……的……強烈的嘲諷,6,0,0,procedure,0.4286,"{""procedure"": 3, ""criminal"": 3, ""administrative"": 1}"
incitement,煽惑,8,8,8,procedure,0.4286,"{""procedure"": 3, ""international"": 1, ""criminal"": 3}"
inclement,惡劣天氣警告日,8,8,8,criminal,0.4286,"{""administrative"": 1, ""civil"": 1, ""labor_social"": 1, ""criminal"": 3, ""procedure"": 1}"
inclosure,圍佔,2,1,1,criminal,0.4286,"{""criminal"": 3, ""civil"": 3, ""international"": 1}"
include,收納,8,8,8,labor_social,0.4286,"{""procedure"": 2, ""labor_social"": 3, ""civil"": 1, ""administrative"": 1}"
inclusive,首尾……包括在內,8,0,0,labor_social,0.5714,"{""civil"": 1, ""labor_social"": 4, ""procedure"": 1, ""constitutional"": 1}"
incompatibility,不相容情況,1,1,1,procedure,0.2857,"{""procedure"": 2, ""administrative"": 2, ""criminal"": 1, ""civil"": 1, ""labor_social"": 1}"
incompatible,兩項刑罰互不相容,8,0,0,procedure,0.4286,"{""criminal"": 2, ""administrative"": 2, ""procedure"": 3}"
incompetence,律師失職,8,0,0,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
incompetency,不稱職,5,8,5,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
incomplete,不完整,8,8,8,criminal,0.2857,"{""criminal"": 2, ""administrative"": 1, ""procedure"": 2, ""labor_social"": 1, ""international"": 1}"
inconsistency,不一致,8,8,8,procedure,0.2857,"{""procedure"": 2, ""civil"": 1, ""international"": 1, ""criminal"": 1, ""constitutional"": 1, ""labor_social"": 1}"
inconvenience,不便,8,8,8,labor_social,0.2857,"{""labor_social"": 2, ""administrative"": 2, ""criminal"": 2, ""procedure"": 1}"
inconvenient,不公正……或……不便,8,0,0,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
incorporation,法團註冊證書,8,3,3,civil,0.5714,"{""constitutional"": 3, ""civil"": 4}"
incorrect,不正確,8,8,8,criminal,0.5714,"{""criminal"": 4, ""administrative"": 1, ""constitutional"": 1, ""civil"": 1}"
increase,增加額,8,8,8,labor_social,0.7143,"{""labor_social"": 5, ""criminal"": 1, ""civil"": 1}"
increment,增薪,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""criminal"": 1, ""civil"": 1, ""procedure"": 1}"
incremental,增值,8,8,8,procedure,0.2857,"{""administrative"": 1, ""procedure"": 2, ""labor_social"": 2, ""constitutional"": 1, ""civil"": 1}"
incriminate,導致……入罪,8,0,0,criminal,1.0,"{""criminal"": 7}"
incumbrancer,產權負擔持有人,2,6,2,criminal,0.4286,"{""international"": 2, ""criminal"": 3, ""civil"": 1, ""constitutional"": 1}"
indebted,欠……任何債項,8,0,0,criminal,0.4286,"{""criminal"": 3, ""civil"": 3, ""labor_social"": 1}"
indecency,嚴重猥褻作為,8,8,8,criminal,1.0,"{""criminal"": 7}"
indecipherable,不能辨解,1,1,1,criminal,0.8571,"{""criminal"": 6, ""procedure"": 1}"
indefeasibly,不能廢止地,1,1,1,criminal,0.8571,"{""criminal"": 6, ""constitutional"": 1}"
indefinite,不確定期限,8,1,1,civil,0.5714,"{""administrative"": 1, ""civil"": 4, ""procedure"": 2}"
indefinitely,無限期有效,8,8,8,criminal,0.2857,"{""constitutional"": 1, ""criminal"": 2, ""administrative"": 1, ""civil"": 1, ""procedure"": 1, ""labor_social"": 1}"
indemnification,彌償,7,8,7,labor_social,0.2857,"{""labor_social"": 2, ""civil"": 1, ""administrative"": 2, ""international"": 1, ""procedure"": 1}"
indemnified,獲彌償保障者,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""civil"": 2, ""criminal"": 1}"
indemnifier,彌償人,1,1,1,criminal,0.4286,"{""administrative"": 2, ""criminal"": 3, ""civil"": 1, ""labor_social"": 1}"
independence,“港獨”,8,0,0,international,0.4286,"{""international"": 3, ""constitutional"": 2, ""labor_social"": 2}"
independently,獨立進行審判,8,0,0,international,0.2857,"{""international"": 2, ""criminal"": 1, ""civil"": 1, ""constitutional"": 1, ""labor_social"": 2}"
indeterminate,無限期刑罰,8,6,6,procedure,0.2857,"{""administrative"": 1, ""civil"": 1, ""procedure"": 2, ""constitutional"": 1, ""criminal"": 1, ""international"": 1}"
index,索引,8,8,8,labor_social,0.2857,"{""labor_social"": 2, ""constitutional"": 2, ""administrative"": 2, ""international"": 1}"
indicate,表明,8,8,8,procedure,0.7143,"{""procedure"": 5, ""administrative"": 1, ""criminal"": 1}"
indication,圖則中的……標示,8,0,0,international,0.2857,"{""civil"": 1, ""international"": 2, ""administrative"": 2, ""labor_social"": 1, ""procedure"": 1}"
indictable,可公訴罪行,8,8,8,criminal,0.7143,"{""criminal"": 5, ""civil"": 1, ""labor_social"": 1}"
Indigenous Village,原居鄉村,8,8,8,international,0.2857,"{""international"": 2, ""labor_social"": 2, ""civil"": 2, ""constitutional"": 1}"
individually,單獨,8,8,8,international,0.4286,"{""international"": 3, ""labor_social"": 2, ""constitutional"": 1, ""procedure"": 1}"
indoor,室內操作,8,1,1,labor_social,0.5714,"{""labor_social"": 4, ""civil"": 1, ""constitutional"": 1, ""international"": 1}"
indorser,背書人,8,8,8,international,0.2857,"{""international"": 2, ""civil"": 2, ""labor_social"": 1, ""criminal"": 1, ""procedure"": 1}"
industry,行業內機構的規管,8,0,0,labor_social,0.5714,"{""labor_social"": 4, ""international"": 2, ""civil"": 1}"
ineffectual,失效,2,8,2,criminal,1.0,"{""criminal"": 7}"
inefficiency,效率欠佳,7,7,7,criminal,0.4286,"{""labor_social"": 1, ""criminal"": 3, ""administrative"": 2, ""constitutional"": 1}"
inefficient,欠效率,2,0,0,criminal,1.0,"{""criminal"": 7}"
ineligible,無資格,8,8,8,labor_social,0.2857,"{""labor_social"": 2, ""administrative"": 2, ""constitutional"": 1, ""procedure"": 1, ""criminal"": 1}"
inequity,不公平現象,3,3,3,labor_social,0.4286,"{""civil"": 2, ""labor_social"": 3, ""constitutional"": 1, ""criminal"": 1}"
inexpedient,不宜,8,8,8,administrative,0.4286,"{""criminal"": 1, ""administrative"": 3, ""labor_social"": 1, ""civil"": 1, ""procedure"": 1}"
infancy,未成年,3,8,3,labor_social,0.2857,"{""labor_social"": 2, ""procedure"": 2, ""criminal"": 2, ""civil"": 1}"
infant formula,嬰兒配方產品,7,7,7,labor_social,0.5714,"{""labor_social"": 4, ""international"": 1, ""administrative"": 1, ""civil"": 1}"
infanticide,殺嬰,5,6,5,criminal,1.0,"{""criminal"": 7}"
infer,推斷,8,8,8,procedure,1.0,"{""procedure"": 7}"
inferencing,推理規則,1,1,1,procedure,0.8571,"{""procedure"": 6, ""civil"": 1}"
inferior,下一級業主,8,2,2,criminal,0.4286,"{""constitutional"": 1, ""criminal"": 3, ""civil"": 1, ""procedure"": 2}"
infirmity,衰弱,8,8,8,criminal,0.5714,"{""labor_social"": 2, ""criminal"": 4, ""administrative"": 1}"
inflammable,易燃物質,8,1,1,criminal,0.7143,"{""criminal"": 5, ""administrative"": 1, ""labor_social"": 1}"
inflict,對他人身體加以嚴重傷害,8,2,2,criminal,0.8571,"{""criminal"": 6, ""procedure"": 1}"
infliction,蓄意施加,2,0,0,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
inflow,合約現金流入,5,1,1,administrative,0.2857,"{""criminal"": 1, ""administrative"": 2, ""constitutional"": 1, ""international"": 1, ""procedure"": 2}"
informal,不拘形式,8,8,8,criminal,0.4286,"{""administrative"": 1, ""international"": 1, ""civil"": 1, ""criminal"": 3, ""procedure"": 1}"
informally,透過簡便方式解決,5,3,3,international,0.4286,"{""administrative"": 2, ""international"": 3, ""constitutional"": 1, ""labor_social"": 1}"
informant,申報人,8,4,4,criminal,0.4286,"{""criminal"": 3, ""administrative"": 1, ""procedure"": 1, ""international"": 1, ""constitutional"": 1}"
informer,舉報人,8,8,8,international,0.2857,"{""administrative"": 1, ""procedure"": 1, ""international"": 2, ""civil"": 1, ""criminal"": 1, ""labor_social"": 1}"
infringing,侵犯版權物品,8,1,1,criminal,0.5714,"{""civil"": 1, ""criminal"": 4, ""procedure"": 1, ""administrative"": 1}"
infuriate,激怒,0,6,0,criminal,0.7143,"{""criminal"": 5, ""labor_social"": 1, ""procedure"": 1}"
ingredient,犯罪元素,8,1,1,civil,0.2857,"{""civil"": 2, ""procedure"": 1, ""international"": 2, ""labor_social"": 2}"
inhabit,住用,0,8,0,administrative,0.2857,"{""administrative"": 2, ""procedure"": 1, ""labor_social"": 2, ""constitutional"": 1, ""civil"": 1}"
inherently,本身,5,8,5,civil,0.4286,"{""criminal"": 2, ""civil"": 3, ""constitutional"": 1, ""international"": 1}"
inhibit,限制,8,8,8,criminal,0.5714,"{""criminal"": 4, ""procedure"": 2, ""administrative"": 1}"
inhibition,制止令,5,5,5,criminal,0.7143,"{""administrative"": 1, ""criminal"": 5, ""procedure"": 1}"
inimical,有損,1,8,1,criminal,0.5714,"{""criminal"": 4, ""administrative"": 1, ""procedure"": 1, ""constitutional"": 1}"
initial,最初市值,8,1,1,procedure,0.2857,"{""procedure"": 2, ""administrative"": 2, ""labor_social"": 1, ""criminal"": 1, ""civil"": 1}"
initiate,提起法律程序,8,8,8,procedure,0.4286,"{""procedure"": 3, ""criminal"": 3, ""administrative"": 1}"
initiative,主動,8,8,8,international,0.4286,"{""criminal"": 1, ""civil"": 1, ""procedure"": 2, ""international"": 3}"
injured,受傷害者,8,4,4,criminal,0.4286,"{""criminal"": 3, ""labor_social"": 2, ""civil"": 1, ""administrative"": 1}"
inland,本地承付票,8,1,1,international,0.5714,"{""international"": 4, ""constitutional"": 2, ""civil"": 1}"
inlay,嵌有,0,5,0,administrative,0.4286,"{""administrative"": 3, ""civil"": 1, ""procedure"": 2, ""international"": 1}"
innkeeper,旅店主理人,3,3,3,labor_social,0.5714,"{""labor_social"": 4, ""administrative"": 1, ""civil"": 1, ""international"": 1}"
innocent,清白動機,5,0,0,criminal,0.7143,"{""criminal"": 5, ""procedure"": 1, ""labor_social"": 1}"
innocently,無意地,8,1,1,criminal,0.8571,"{""criminal"": 6, ""procedure"": 1}"
in-patient,住院病人,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""procedure"": 1, ""administrative"": 2}"
input,審查……數據進項,8,0,0,procedure,0.4286,"{""administrative"": 2, ""procedure"": 3, ""labor_social"": 2}"
inquire,查究,8,8,8,procedure,0.5714,"{""procedure"": 4, ""criminal"": 1, ""administrative"": 1, ""labor_social"": 1}"
inquirer,研訊人員,1,1,1,criminal,0.2857,"{""administrative"": 1, ""international"": 1, ""criminal"": 2, ""constitutional"": 2, ""labor_social"": 1}"
insane,精神錯亂,3,8,3,criminal,1.0,"{""criminal"": 7}"
inscribe,註記,0,4,0,procedure,0.5714,"{""procedure"": 4, ""civil"": 1, ""criminal"": 1, ""administrative"": 1}"
inscribed,記名股票,8,1,1,procedure,0.5714,"{""procedure"": 4, ""civil"": 1, ""administrative"": 2}"
insignificant,微不足道,8,8,8,criminal,0.5714,"{""international"": 2, ""criminal"": 4, ""civil"": 1}"
inspect,對通訊進行檢查,8,0,0,procedure,0.7143,"{""procedure"": 5, ""administrative"": 2}"
inspector,視察主任,8,8,8,procedure,0.4286,"{""administrative"": 2, ""constitutional"": 1, ""procedure"": 3, ""criminal"": 1}"
install,裝設,8,8,8,administrative,0.7143,"{""administrative"": 5, ""procedure"": 1, ""constitutional"": 1}"
installation,電訊裝置,8,8,8,administrative,0.5714,"{""administrative"": 4, ""constitutional"": 2, ""labor_social"": 1}"
instalment,分期,8,8,8,administrative,0.4286,"{""administrative"": 3, ""civil"": 2, ""procedure"": 2}"
instance,自行,8,8,8,civil,0.4286,"{""civil"": 3, ""procedure"": 1, ""constitutional"": 1, ""international"": 1, ""labor_social"": 1}"
instantaneously,瞬時,3,6,3,constitutional,0.2857,"{""constitutional"": 2, ""criminal"": 2, ""administrative"": 1, ""labor_social"": 1, ""procedure"": 1}"
instead of,取代,8,8,8,criminal,0.5714,"{""administrative"": 2, ""criminal"": 4, ""civil"": 1}"
instigation,在其唆使……下,5,0,0,procedure,0.5714,"{""procedure"": 4, ""civil"": 1, ""administrative"": 1, ""criminal"": 1}"
institutional,恆常院舍照顧,4,0,0,administrative,0.4286,"{""civil"": 2, ""administrative"": 3, ""constitutional"": 2}"
instructing,發出指示的律師,8,5,5,administrative,0.4286,"{""civil"": 1, ""administrative"": 3, ""labor_social"": 1, ""procedure"": 2}"
insubordinate,不服從,2,8,2,criminal,1.0,"{""criminal"": 7}"
insulting,侮辱或不檢的行為,8,0,0,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
insurable,可保權益,8,8,8,labor_social,0.4286,"{""labor_social"": 3, ""civil"": 2, ""international"": 2}"
insurrection,叛亂,6,7,6,criminal,0.7143,"{""international"": 1, ""criminal"": 5, ""labor_social"": 1}"
intangible,無形,8,8,8,civil,0.4286,"{""labor_social"": 2, ""civil"": 3, ""procedure"": 1, ""international"": 1}"
integration,整合,3,7,3,administrative,0.2857,"{""administrative"": 2, ""constitutional"": 1, ""civil"": 1, ""procedure"": 1, ""labor_social"": 1, ""international"": 1}"
integrity,正直操守,8,1,1,criminal,0.4286,"{""administrative"": 2, ""civil"": 2, ""criminal"": 3}"
intellectual,智障人士,8,0,0,criminal,0.4286,"{""constitutional"": 2, ""labor_social"": 1, ""criminal"": 3, ""international"": 1}"
intelligence,消息,8,8,8,criminal,0.2857,"{""international"": 1, ""criminal"": 2, ""labor_social"": 2, ""procedure"": 1, ""constitutional"": 1}"
intelligible,令人明瞭的證供,6,0,0,procedure,0.7143,"{""procedure"": 5, ""labor_social"": 1, ""administrative"": 1}"
intend,作出傾向並意圖妨礙司法公正的作為,8,0,0,criminal,0.4286,"{""criminal"": 3, ""civil"": 3, ""administrative"": 1}"
intended,擬進行的上訴,8,1,1,criminal,0.4286,"{""criminal"": 3, ""procedure"": 1, ""civil"": 3}"
intending,未來董事,8,2,2,criminal,0.4286,"{""criminal"": 3, ""civil"": 3, ""international"": 1}"
intentionally,故意,8,8,8,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
intents and purposes,在一切用意及目的方面,8,0,0,procedure,0.4286,"{""criminal"": 2, ""civil"": 1, ""procedure"": 3, ""international"": 1}"
interbank,銀行同業,6,8,6,civil,0.4286,"{""international"": 2, ""civil"": 3, ""labor_social"": 2}"
interception,截取,8,8,8,criminal,1.0,"{""criminal"": 7}"
interchangeably,相互交替使用,2,2,2,international,0.2857,"{""constitutional"": 1, ""procedure"": 1, ""labor_social"": 1, ""administrative"": 1, ""international"": 2, ""criminal"": 1}"
interconnectedness,互相關連性,2,2,2,international,0.4286,"{""international"": 3, ""civil"": 2, ""procedure"": 1, ""constitutional"": 1}"
intercourse,串謀促致年齡在21歲以下的女童與人非法性交,8,0,0,criminal,0.5714,"{""civil"": 1, ""criminal"": 4, ""international"": 1, ""labor_social"": 1}"
interdiction,停職,8,8,8,criminal,0.8571,"{""criminal"": 6, ""international"": 1}"
interest rate,利率震盪,8,0,0,labor_social,0.5714,"{""civil"": 2, ""labor_social"": 4, ""criminal"": 1}"
interest rate-linked,利率掛鈎票據,3,3,3,civil,0.5714,"{""civil"": 4, ""labor_social"": 2, ""criminal"": 1}"
interfere,干擾或干預,8,0,0,criminal,0.2857,"{""administrative"": 1, ""international"": 1, ""civil"": 1, ""criminal"": 2, ""labor_social"": 1, ""procedure"": 1}"
interference,性騷擾,8,1,1,procedure,0.4286,"{""international"": 1, ""civil"": 1, ""procedure"": 3, ""labor_social"": 1, ""administrative"": 1}"
interlineation,字行間的加插字句,7,1,1,procedure,0.4286,"{""procedure"": 3, ""international"": 2, ""administrative"": 1, ""constitutional"": 1}"
intermarry,結合,0,8,0,procedure,0.4286,"{""civil"": 2, ""international"": 2, ""procedure"": 3}"
intermediate,中級上訴,8,0,0,labor_social,0.5714,"{""labor_social"": 4, ""international"": 2, ""administrative"": 1}"
interment,安放權,8,8,8,civil,0.2857,"{""civil"": 2, ""procedure"": 1, ""administrative"": 2, ""international"": 2}"
intermittent,斷續,8,3,3,criminal,0.5714,"{""administrative"": 1, ""labor_social"": 2, ""criminal"": 4}"
intermittently,間歇,3,8,3,criminal,0.5714,"{""criminal"": 4, ""administrative"": 1, ""labor_social"": 2}"
intern,實習學員,8,2,2,labor_social,0.5714,"{""labor_social"": 4, ""procedure"": 1, ""administrative"": 1, ""civil"": 1}"
internal law,本土法律,8,8,8,administrative,0.2857,"{""international"": 1, ""civil"": 1, ""administrative"": 2, ""constitutional"": 1, ""criminal"": 2}"
International Maritime Dangerous Goods Code,國際海運危險貨物規則,1,1,1,international,0.7143,"{""international"": 5, ""administrative"": 1, ""civil"": 1}"
International Organization of Securities Commissions,證券委員會國際組織,2,2,2,civil,0.2857,"{""civil"": 2, ""international"": 2, ""constitutional"": 2, ""administrative"": 1}"
internationally recognized standard,國際認可標準,1,1,1,administrative,0.5714,"{""international"": 2, ""procedure"": 1, ""administrative"": 4}"
internee,受保護的囚犯,1,1,1,criminal,0.4286,"{""labor_social"": 2, ""criminal"": 3, ""civil"": 1, ""administrative"": 1}"
Internet,互聯網,8,8,8,constitutional,0.4286,"{""constitutional"": 3, ""criminal"": 1, ""international"": 1, ""labor_social"": 2}"
interplead,互爭權利,0,8,0,criminal,0.5714,"{""procedure"": 2, ""international"": 1, ""criminal"": 4}"
interposed,中間人,8,8,8,administrative,0.4286,"{""procedure"": 2, ""international"": 2, ""administrative"": 3}"
interpret,詮釋,4,8,4,procedure,0.5714,"{""procedure"": 4, ""administrative"": 2, ""civil"": 1}"
interpreter,通譯,8,1,1,labor_social,0.2857,"{""administrative"": 1, ""labor_social"": 2, ""civil"": 1, ""international"": 1, ""procedure"": 2}"
interrupt,干擾,8,8,8,criminal,0.4286,"{""criminal"": 3, ""labor_social"": 2, ""administrative"": 2}"
intervener,介入者,8,2,2,labor_social,0.4286,"{""international"": 2, ""labor_social"": 3, ""administrative"": 1, ""civil"": 1}"
intervening,相隔期間,8,8,8,procedure,0.4286,"{""labor_social"": 1, ""civil"": 1, ""procedure"": 3, ""administrative"": 2}"
intervention,干預,8,8,8,procedure,0.2857,"{""procedure"": 2, ""administrative"": 2, ""criminal"": 2, ""labor_social"": 1}"
interview,會面視像紀錄,8,0,0,procedure,0.5714,"{""procedure"": 4, ""constitutional"": 1, ""administrative"": 1, ""labor_social"": 1}"
interviewee,接受會見的人,1,3,1,procedure,0.4286,"{""labor_social"": 2, ""constitutional"": 2, ""procedure"": 3}"
interviewer,進行會見的人,5,1,1,labor_social,0.4286,"{""labor_social"": 3, ""procedure"": 2, ""constitutional"": 1, ""civil"": 1}"
intimate,未經同意下發布私密影像,8,0,0,procedure,0.4286,"{""criminal"": 2, ""procedure"": 3, ""international"": 2}"
intimation,提示,8,8,8,procedure,0.5714,"{""international"": 1, ""criminal"": 2, ""procedure"": 4}"
intimidation,恐嚇,8,8,8,criminal,0.5714,"{""labor_social"": 2, ""criminal"": 4, ""international"": 1}"
intoxicating,減低清醒程度的物質,8,0,0,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
intoxicating liquor,令人醺醉的酒類,8,8,8,criminal,1.0,"{""criminal"": 7}"
intra-group,集團內部融資業務,8,4,4,constitutional,0.4286,"{""procedure"": 1, ""constitutional"": 3, ""international"": 1, ""administrative"": 2}"
intruder,闖入者,3,3,3,criminal,1.0,"{""criminal"": 7}"
intrusive,構成侵擾,7,0,0,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
invalid out,因傷病退役,0,2,0,criminal,0.4286,"{""labor_social"": 2, ""administrative"": 2, ""criminal"": 3}"
invalidity,無效,8,8,8,criminal,0.5714,"{""criminal"": 4, ""administrative"": 1, ""procedure"": 1, ""civil"": 1}"
invented,新創字,2,1,1,civil,0.5714,"{""civil"": 4, ""procedure"": 1, ""criminal"": 2}"
invention,對該項發明的可享專利性的論述,8,2,2,civil,0.5714,"{""civil"": 4, ""procedure"": 2, ""criminal"": 1}"
inventive,創造性,6,3,3,criminal,0.5714,"{""civil"": 3, ""criminal"": 4}"
inventor,共同發明人,8,7,7,civil,0.2857,"{""civil"": 2, ""procedure"": 1, ""labor_social"": 2, ""criminal"": 1, ""constitutional"": 1}"
investigate,調查,8,8,8,procedure,0.7143,"{""procedure"": 5, ""administrative"": 2}"
investigating,調查人員,8,8,8,procedure,0.5714,"{""procedure"": 4, ""administrative"": 2, ""civil"": 1}"
investigation,調查,8,8,8,procedure,0.7143,"{""procedure"": 5, ""administrative"": 2}"
investigator,調查員,8,8,8,procedure,0.5714,"{""procedure"": 4, ""administrative"": 1, ""constitutional"": 1, ""criminal"": 1}"
investing,投資大眾,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""civil"": 2, ""international"": 1}"
investor,投資者與東道國間爭議,8,0,0,civil,0.7143,"{""labor_social"": 2, ""civil"": 5}"
invite,邀請……作出……要約,8,0,0,procedure,0.4286,"{""procedure"": 3, ""civil"": 1, ""constitutional"": 2, ""international"": 1}"
invoice,發票,8,8,8,labor_social,0.4286,"{""labor_social"": 3, ""administrative"": 1, ""civil"": 1, ""criminal"": 1, ""procedure"": 1}"
involuntarily,在非自發的情況下,1,1,1,criminal,0.8571,"{""criminal"": 6, ""international"": 1}"
involved,涉及,8,8,8,civil,0.2857,"{""civil"": 2, ""constitutional"": 2, ""criminal"": 1, ""labor_social"": 1, ""international"": 1}"
irregular,不符合規定,8,8,8,criminal,0.8571,"{""criminal"": 6, ""administrative"": 1}"
irrelevant,不相干,8,8,8,criminal,0.7143,"{""criminal"": 5, ""civil"": 1, ""constitutional"": 1}"
irremediable,無可補救,4,6,4,criminal,0.7143,"{""criminal"": 5, ""procedure"": 1, ""labor_social"": 1}"
irreparable,難以補救,2,2,2,criminal,0.5714,"{""criminal"": 4, ""constitutional"": 2, ""labor_social"": 1}"
irreplaceable,在……方面，具有不可取代的地位,1,0,0,procedure,0.4286,"{""procedure"": 3, ""constitutional"": 2, ""labor_social"": 1, ""international"": 1}"
irrespective of,不論,8,8,8,international,0.2857,"{""international"": 2, ""procedure"": 1, ""constitutional"": 1, ""criminal"": 2, ""civil"": 1}"
irretrievably,無可挽救,4,3,3,criminal,1.0,"{""criminal"": 7}"
island,離島,8,5,5,international,0.4286,"{""international"": 3, ""civil"": 2, ""constitutional"": 1, ""labor_social"": 1}"
isolate,隔離,8,8,8,criminal,0.2857,"{""labor_social"": 1, ""procedure"": 1, ""criminal"": 2, ""administrative"": 1, ""international"": 2}"
issuance,在發行時,8,0,0,procedure,0.4286,"{""civil"": 1, ""administrative"": 2, ""procedure"": 3, ""constitutional"": 1}"
issued,已發行股票,8,1,1,administrative,0.5714,"{""administrative"": 4, ""procedure"": 1, ""labor_social"": 1, ""criminal"": 1}"
itinerary,預定航線,1,2,1,administrative,0.2857,"{""constitutional"": 1, ""administrative"": 2, ""civil"": 1, ""labor_social"": 2, ""international"": 1}"
jam,干擾,0,8,0,criminal,0.7143,"{""criminal"": 5, ""administrative"": 1, ""civil"": 1}"
jeopardize,危及,6,8,6,criminal,1.0,"{""criminal"": 7}"
joint venture,聯營者,8,2,2,civil,0.5714,"{""civil"": 4, ""international"": 1, ""labor_social"": 2}"
jointly,個人、共同及各別為……負上法律責任,8,0,0,international,0.5714,"{""international"": 4, ""civil"": 2, ""labor_social"": 1}"
joint-stock,合股公司,7,8,7,civil,1.0,"{""civil"": 7}"
journal,期刊,8,8,8,administrative,0.2857,"{""administrative"": 2, ""labor_social"": 1, ""international"": 1, ""constitutional"": 1, ""procedure"": 2}"
journalistic,新聞材料,8,8,8,procedure,0.4286,"{""constitutional"": 2, ""procedure"": 3, ""labor_social"": 1, ""criminal"": 1}"
journey,旅程,8,8,8,constitutional,0.2857,"{""constitutional"": 2, ""civil"": 2, ""labor_social"": 1, ""administrative"": 1, ""procedure"": 1}"
judicially,以司法人員身分行事的人,8,1,1,criminal,0.5714,"{""constitutional"": 1, ""criminal"": 4, ""procedure"": 2}"
Judiciary Accountant,司法機構會計師,4,4,4,administrative,0.4286,"{""constitutional"": 2, ""administrative"": 3, ""criminal"": 1, ""procedure"": 1}"
justice of the peace,太平紳士,8,8,8,constitutional,0.5714,"{""constitutional"": 4, ""criminal"": 1, ""civil"": 1, ""administrative"": 1}"
justiciable,可由法庭審理,0,0,0,procedure,0.4286,"{""procedure"": 3, ""criminal"": 3, ""labor_social"": 1}"
justifiable,有充分理由的抱怨,8,0,0,procedure,0.5714,"{""procedure"": 4, ""constitutional"": 2, ""criminal"": 1}"
justified,有充分理由支持,8,8,8,criminal,0.4286,"{""procedure"": 2, ""criminal"": 3, ""constitutional"": 1, ""administrative"": 1}"
justly,確實正當,3,0,0,criminal,0.5714,"{""criminal"": 4, ""procedure"": 1, ""administrative"": 1, ""constitutional"": 1}"
keep,經營不道德場所,8,0,0,administrative,0.4286,"{""labor_social"": 2, ""civil"": 1, ""administrative"": 3, ""criminal"": 1}"
keeper,管理人,8,8,8,civil,0.4286,"{""civil"": 3, ""labor_social"": 2, ""international"": 1, ""administrative"": 1}"
